Sample,Observed,Chao1,Shannon,Simpson,Site,Seep,Domain,Layer
ROV5.8.0,1629,1650.903226,6.270610781,0.992389396,ROV5,Non-Seep,16S,0
ROV5.8.90,976,981.1691176,5.427861692,0.973471271,ROV5,Non-Seep,16S,90
ROV5.8.210,1213,1223.6,5.461279182,0.967354821,ROV5,Non-Seep,16S,210
ROV5.8.330,1103,1109.798165,5.224189903,0.95564304,ROV5,Non-Seep,16S,330
ROV5.8.450,664,675.48,4.459322873,0.913611563,ROV5,Non-Seep,16S,450
ROV5.8.690,845,852.4029851,4.429880657,0.898404769,ROV5,Non-Seep,16S,690
ROV5.8.810,759,765,4.599520569,0.909961064,ROV5,Non-Seep,16S,810
ROV2.8.0,1394,1418.207373,5.806658468,0.978811222,ROV2,Seep,16S,0
ROV2.8.90,1172,1176.96063,5.037280285,0.933591695,ROV2,Seep,16S,90
ROV2.8.210,917,928.6351351,4.972749955,0.940182849,ROV2,Seep,16S,210
ROV2.8.330,1040,1045.957627,5.119508277,0.966338463,ROV2,Seep,16S,330
ROV2.8.450,1224,1232.846154,5.383410339,0.962416036,ROV2,Seep,16S,450
ROV2.8.570,1095,1099.878261,4.668801671,0.890975505,ROV2,Seep,16S,570
ROV2.8.690,738,739.3,4.295346781,0.882922687,ROV2,Seep,16S,690
ROV2.8.810,623,626.7317073,4.297311753,0.908640119,ROV2,Seep,16S,810
ROV3.8.0,672,675.0208333,5.362634385,0.986015064,ROV3,Seep,16S,0
ROV3.8.90,1477,1484.5,5.633451511,0.964335735,ROV3,Seep,16S,90
ROV3.8.210,1081,1084.350515,4.97774573,0.939682104,ROV3,Seep,16S,210
ROV3.8.810,608,611.9622642,3.937342454,0.874934238,ROV3,Seep,16S,810